mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011812067031860352,0.0014045082929025209,0.004607534408569336,0.0007472493882642358,5,2,3,gini,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 3, 'criterion': 'gini'}",0.9340659340659341,0.9010989010989011,0.945054945054945,0.9340659340659341,0.9340659340659341,0.9296703296703297,0.014906219743132446,24
0.013842487335205078,0.0026283766365582293,0.004399728775024414,0.0007881463001108102,2,1,7,gini,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 7, 'criterion': 'gini'}",0.9230769230769231,0.8901098901098901,0.9340659340659341,0.9010989010989011,0.945054945054945,0.9186813186813186,0.020381579110979577,47
0.01074676513671875,0.002616214673109703,0.003200531005859375,0.00028960908048360483,5,1,8,gini,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 8, 'criterion': 'gini'}",0.9230769230769231,0.9010989010989011,0.967032967032967,0.8901098901098901,0.9230769230769231,0.9208791208791209,0.026373626373626387,45
0.009398984909057616,0.0013101574096951298,0.003321409225463867,0.0003201335318850762,5,2,3,entropy,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 3, 'criterion': 'entropy'}",0.978021978021978,0.9120879120879121,0.945054945054945,0.945054945054945,0.9340659340659341,0.9428571428571428,0.0213084828897421,5
0.009738731384277343,0.0015817879464364115,0.0036315441131591795,0.0005322517235070649,10,4,5,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 5, 'criterion': 'entropy'}",0.967032967032967,0.9010989010989011,0.945054945054945,0.9340659340659341,0.9560439560439561,0.9406593406593406,0.02262775855161978,7
0.011233949661254882,0.001651344259771824,0.004241371154785156,0.0006936486171727186,5,1,8,entropy,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 8, 'criterion': 'entropy'}",0.945054945054945,0.9230769230769231,0.9560439560439561,0.9230769230769231,0.9120879120879121,0.9318681318681319,0.016150481820548433,14
0.01259021759033203,0.0007491543263877379,0.003939294815063476,0.0008010252804354244,2,4,7,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 7, 'criterion': 'entropy'}",0.967032967032967,0.9010989010989011,0.9340659340659341,0.9340659340659341,0.9230769230769231,0.9318681318681319,0.0213084828897421,14
0.010979413986206055,0.0017777769688305124,0.0038524627685546874,0.0005922715738823882,5,2,8,entropy,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 8, 'criterion': 'entropy'}",0.945054945054945,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.9120879120879121,0.9340659340659341,0.015540808377726326,11
0.00954890251159668,0.001120293807068362,0.003244924545288086,0.00020804418873787906,2,2,8,gini,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 8, 'criterion': 'gini'}",0.9120879120879121,0.8791208791208791,0.9560439560439561,0.945054945054945,0.8901098901098901,0.9164835164835164,0.02997402570766124,48
0.007597017288208008,0.0007394845226589228,0.003319120407104492,0.0007255466609319838,2,4,8,gini,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 8, 'criterion': 'gini'}",0.9230769230769231,0.9120879120879121,0.9230769230769231,0.9560439560439561,0.9010989010989011,0.9230769230769231,0.01838813245129838,33
0.00825514793395996,0.0006483637199796166,0.004259777069091797,0.0010732827440200342,10,1,5,gini,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5, 'criterion': 'gini'}",0.9340659340659341,0.9120879120879121,0.978021978021978,0.9120879120879121,0.9230769230769231,0.9318681318681319,0.024473689506945142,14
0.015744924545288086,0.004596725291706194,0.004606294631958008,0.0005210121970757084,2,2,7,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 7, 'criterion': 'entropy'}",0.9340659340659341,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.9120879120879121,0.9318681318681319,0.014578570507056717,14
0.015027189254760742,0.003888067684040777,0.0056685924530029295,0.001530192375917445,5,2,7,entropy,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 7, 'criterion': 'entropy'}",0.945054945054945,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.9120879120879121,0.9340659340659341,0.015540808377726326,11
